filename,audio_only_prediction,video_only_prediction,audio_video_prediction
allein_0251-0453,So kann man war ein Leid desweges.,(Applaus),Desseel lernt deswegen.
allem_0061-0323,Vor allem?,Vielen Dank.,Aber alle?
allein_0228-0425,Der ist ein kleinein Zinkst du.,Vielen Dank.,Viele Minscheweil Alein 5.
allem_0049-0302,Nicht nur in den Aus.,Das klingen Sie durch den Ziel.,Nicht nur in den Aus.
allem_0069-0327,Das ist unser Frage.,Vielen Dank.,Das ist vor allem vor allem schnell an.
allein_0293-0498,Ler das mal?,Es sind enorm von einem grunden und Zeu,Und das hat hufen Schotzlich.
allem_0051-0312,Van einiges Geld dort.,Oder seid!,"""Vor einigent, das Geld."""
allein_0290-0491,Auch Sie allein von den Laden.,Wocht ihr klein hier hin?,Kur ist alleinein für die Lähne.
allem_0090-0363,Sie ist vor allem auch ein Gart.,(Applaus),Sie ist vor allem auch ein Gart.
allem_0119-1421,Das war vor allem was wir über.,"""Was aber nicht nur zu tun, oder?""",Das ist bei allem was wir darüber.
allem_0127-0449,Das sind alle die alle.,(Applaus),Es sind alle im allem Sinns in der Posent.
allem_0135-0460,Vor allem allemel.,Wor vor alles im Kommunik?,Vor allem im Kommun.
allen_0026-0409,Dengen Sie alle an.,(Applaus),Das sind alle die anderen.
allem_0176-0535,Nurher vor allem auch nicht.,(Applaus),Nurher vor allem auch fliegen.
allen_0077-0558,"""""""Os Bildung!""""""",Was ist die Bild?,Was Bildung?
allem_0157-0501,So allem bei allem 10.,Also nun einem Leben lebt.,So allem war es vor allem.
allen_0057-0510,(Englisch) Allt!,(Applaus),Neine Allen.
allen_0093-0616,Da noch mit der Einrichtung.,(Applaus),Da noch mit der Einrichtung.
allen_0053-0493,Wir singen die anderen anderen.,Was ist ein der Händehel?,Wir sind in allen anderen Anten.
allen_0193-0859,Gelegen legt beeinbar.,(Applaus),Gehegt beeinen Nachbar.
allen_0190-0846,Manchmal hat man alles erste.,"""Bane Lebal leichte.""""""",Manchmal hat man alles alles ganz.
allen_0182-0826,Das sind mit allen Wunde.,Sie machen keine Leonken wurde in der Neter.,Das hat mit allen Wundeseiten.
allen_0201-0879,Dann gehen Sie nur in allen Z.,Was ist die Helfinter?,Wir sehen Sie einen wegen.
allerdings_0051-0173,Es gibt allerdings ein.,(Applaus),Es gibt allerdings einen.
allerdings_0041-0166,Auchen allerdings gehören allerdings.,Das ist die Händeron.,Auche allerdings auch.
allen_0223-0929,"""Ihre Log bleiben, mit allen Bedeht.""","""Obst du da, man nahmlich in diesem Leben.""",Ihr Heot bleiben mit allem.
allerdings_0152-0263,Da ist allerdings.,(Applaus),Das ist allerdings.
allerdings_0156-0276,Wir sind Kollegen.,Und nicht bin nicht nurlegen.,Wir sind die Kollegen.
allerdings_0154-0268,Aber mache habe ich auch.,Er hat man Häum.,Aber ich habe ich offen.
allerdings_0076-0196,"""Alle, allerdings wissen.""",Das sind alle gerir?,All die allerdings wissen.
allerdings_0100-0219,Und aller ginge allerdings nicht.,Was nun hatten wir ein großer Hot.,Wach seiner ging nicht.
allerdings_0236-0350,All singt genau!,Hoh hoh!,Alledings sind sie.
aller_0002-1662,All tolle die alle.,(Applaus),Alle: Allael-Azien.
allerdings_0205-0314,Das ist alle tings auch.,(Echt!,Das ist alle tings allerdings.
allerdings_0116-0239,Auch not allings auf den Wüne.,Hoch gehen wir sind?,"""Jowon, allerdings auf den Wid."""
aller_0045-0289,Unser guckt unser aller Recht.,Vielen Dank.,Unser guckt unser Aspekt.
aller_0076-0325,Zuben aus aller Welt.,"""Tun """"Branter, ungecht an?""",Deben aus aller Welt.
aller_0030-0260,Dann ist in allen Alek-Booten.,Haben Sie nicht im Brüche.,Allmal in der alle beboten.
alles_0027-0567,Das hat ja alles schon.,Vielen Danke schön.,Aber das hat ja alles schon.
aller_0236-0569,All 1 Prozent aller.,(Applaus),All 1 Prozent aller.
aller_0076-0326,Alle Stellung alle Fliegel.,(Echter) Nebalt.,Der Islam aller Beflügen.
aller_0157-0451,Die Hälfte an der Uyen.,(Applaus) (Musik),Die Hälfte an der Wohnung.
aller_0205-0517,Das hat dazu viele Lärger.,Vielen Dank für sich nach einer Ziel.,Fürer grund das Jahr.
aller_0018-1680,"""Jetzt wollt aller Schult, aller Schuldre.""","""Wient sich alle schön, kriegt hat einen Schulteile in","""Er woll seid lallaschuldrin."""
aller_0167-0467,Für unser alle Sicher.,"""Berun wir an unseren Land, sind es grückel",Für unser alle Sicherheit.
alles_0045-0648,(Applaus) Alles.,Hoh hoh!,Alles alles an.
alles_0069-0712,Und wir auch alles.,(Applaus) (Musik),Da sind wir auch alles.
alles_0050-0676,Das können Sie alle machen.,Der Dinge ist einige wision.,Das können Sie alles machen.
alles_0069-0711,All tate ich alles.,Das ist ungefähr.,All tate ich alles in gut.
alles_0078-0752,All totales dafür.,Das funktioniert ganz gut.,All totales dafür.
alles_0103-0845,Wir machen alle irgendwie.,(Applaus),Wir machen alles anders.
alles_0091-0794,"""Wann immer das mal?""""""",(Applaus),Und wenn man alles macht so?
alles_0030-0579,"""(Span, was ja alles vorgript.""","""Werbevenst the World"""".""","""Ich glaube, das ist sehr vorgedannt."""
alle_0147-0058,Alle alle.,Hrei einige Händeh!,Alle alle.
alle_0152-0111,Und wir alle die alle.,(Echt!,Wir alle das alle.
alle_0151-0103,Aber nicht alle die.,Wennen Sie sich nicht richtig?,Aber nicht alle die auf.
alle_0151-0109,Wir nehmen alle einzel.,(Applaus),Wir nehmen alle einzige.
alle_0153-0121,Das sind alle Faktion.,Vielen Dank.,Das sind alle Faktion.
alles_0129-0937,Das ist alles untersch.,Es ist keine Poktgeklisch!,Das man alles unterstückt.
alle_0150-0086,Hier sind wir dann aller Stadt.,Das war der Lasslich von einem Schreisen online.,Das sind wir dann alle stark.
alle_0154-0130,"""Für mich nicht mehr, gesterken.""",(Applaus) (Musik),Das bin nicht mehr?
alle_0162-0173,Das ist nicht alle treiben.,Der Hom ohne Möllen.,Das ist nicht alle 3 Monate.
also_0150-0054,Der ist einige Tag.,(Applaus),Der Vol ist so auch.
alle_0164-0187,Das sind alle Politisch.,"""Nie, da kann man ein Bolenzigen.""",Das sind alle Polit.
alle_0163-0179,Das muss uns alle in Kochen.,Und nun gänt sich lesen und herständig.,Mus uns alle in Kochen.
also_0196-0243,Also soll!,Diber lernt.,Weit weiß!
also_0151-0068,Man kann man doch ganz nicht.,"""State Menschen, wie nennen und hört hat sie auch",Man kann man doch ganz sich auch.
also_0193-0206,Jetzt geht also nicht nur.,(Applaus),Jetzt geht also nicht nur.
also_0157-0085,Das heißten: Wolst eigentlich kurz.,Das ist der Wunuturen in der Notung.,Das heißt also kurz.
also_0186-0177,Das war der Nahmen.,Vielen Dank.,Was kamen: Jachybussen.
also_0222-0336,Das ist also genauso.,(Applaus),Das ist also genauso.
also_0209-0306,Hier haben wir noch ganz.,Sie haben die Nute hoch.,Hier haben man noch ganz gut.
also_0196-0230,Der gesamten hier diesemit vor.,Was nunvt das schon vor allem in diesem Spiel?,Der gesamt ist so mehr.
anderen_0027-0688,"""All, die anderen Dinge ist.""",Das ist guckt euch die Leute an.,Das sind die andere Dinge.
anderen_0029-0706,Das ist bei einer anderen Oktion.,(Applaus),Das ist bei einer anderen Oktion.
anderen_0042-0784,Dieses Geld ist wieder un.,(Applaus),Dieses Geld jetzt wieder um.
also_0213-0320,Wir werden uns die alte Palie.,"""Krau kommt nicht mehr, nennen wir ihn.""",Wir werden uns die alte Palis?
anderen_0075-0913,Das ist anderen Kultur.,Vielen Dank.,Das ist anderes anderen Kultur.
anderen_0037-0760,Doch keine andere Zahlen.,"""Bittschasunden, ändert es änderen",Wir haben noch keine anderen Zeiten.
anderen_0056-0867,Der andere Leute.,Nach grobieren von uns an 30 -10,Der andere Leute.
anderen_0081-0943,Wir alle anderen die alle.,(Applaus),Wir alle anderen.
anderen_0071-0903,Da kann mich noch gute.,Das gibt mir sogrüßen in der Lieblingen.,Da kann mich noch gute.
anderen_0085-0960,Allen andere.,Kennt alle drei?,Wir sind allen anderen.
anderes_0112-0221,Nichts anderer das als.,Lasser Sie sich nicht?,Nichts anderes als ihn.
anderen_0075-0917,Wir andere?,"""Das ist der Lebunder, die man einfach an Wenschlichs",Wir sind die andere.
anderes_0175-0283,Ein anderes Problem.,(Applaus),Ein anderes Problem.
anderes_0154-0262,(Lachen) Das ist das am Ende auch.,(Applaus),(Lachen) Das ist das am Ende auch.
anderes_0114-0223,Keine anderes Undes Bundes.,Vielen Danke Menschen mit diesem Leben nicht lechtigen.,Keine anderes Bundes.
anderes_0118-0229,Das war das anderesfort.,Was tat man nicht wohl wohl wollen worden wohl wohl,Etwas anderes Vores voll.
anderes_0194-0311,Und nichts anderes ist.,"""Berte schön, gern gescheiden.""",Und nichts anderes ist.
anderes_0196-0314,Das ist nichts anderes als.,Vielen Danke Menschen nicht mehr hin?,Das ist nichts anderes als.
andere_0081-0693,Das waren die anderen.,Vielen Dank.,Das war ein paar Tag.
anderes_0230-0354,Das ist eigentlich nichts andere.,(Echter) Heid!,Das ist eigentlich nicht anders als Alterseites.
andere_0083-0700,Das sind andere Bundes.,Das ist ganz gut.,Das sind andere Bundes.
anderes_0264-0378,Kein Ach kein anderer Fotos.,"""Das ist eine interessante, dassprucht.""",Kein Aus-Butes.
anderes_0250-0366,"""Volligt anderes Bild.""",Wohr segtiven von Ziesen wohle,Folge ich anderes Bild.
andere_0056-0641,Auch für andere Bereich.,"""Berchts gelebrelt, geschlählt ihr",Auch für andere Bereich.
andere_0107-0781,Auch für andere Behörten.,(Applaus),Auche andere behört.
andere_0124-0824,Das ist ein andere zwei.,Vielen Dank.,Das ist ein andere zwei.
andere_0095-0746,"""Jetzt wollen auch ja nicht mehr sehen.""""""",Wel Hillikaden nicht lassen.,Jetzt wäre ja lange nicht mehr sehen.
andere_0077-0686,Eine der Allos getan.,Sie machen keine Gritsinken gehentlich hinter im Inter,Eine andere anders getan.
andere_0104-0770,Aber auch andere die Sehr.,"""Die Homme aber nicht.""",Aber auch andere die Sehr.
andere_0181-1048,Viele andere Tage.,Wir haben alle drei getrigt.,Viele andere Tage.
anders_0007-1545,Das ist der Begierung.,(Lachen),Das ist eine Gierung.
anders_0147-0363,Natürlich kann ich natürlich.,(Applaus),Natürlich anders anders die anderen.
andere_0138-0876,"""Kollegegen, das ist con.""",Sie sind also nicht aus der Uni gelernte Note geleben.,"""Kollegelegen, was Sie."""
anders_0165-0391,Dabei st dabei nicht dabei.,Hab mich nicht einmal aneinander.,Da bin ich dabei.
anders_0179-1015,Der Frau auch anders so.,Vielen Dank.,Der Frau von anders so.
anders_0110-0321,Das ist anders beimoter.,Das war der Vermutlich vom Mollieren.,"""""""Wandard, andersformulieren."""""""
anders_0099-1010,Waltung anders dar?,Also nennen die Hönution echt hol,Waltung anders darsch.
anders_0195-0447,Das wird andersverstand.,"""So weit, ob mir nicht in Deutschland.""",Das wird anders verstanden.
anders_0188-0429,(Englisch) Das ist der anders ausgewartet.,(Lachen),Weil anders aus anders.
anders_0187-0425,"""Er ist das, aber anders genan.""",Lasser Sie immer Hand in diesem Gehirn.,Das war das aber anders.
anders_0245-0496,Oder auch um Nutzen.,Hoch hoch.,Oder auch um Nutzen.
anfrage_0113-0117,Oder bei die Antworten Zeit.,(Applaus),Oder bei die Antworten Frage.
anfrage_0113-0116,"""Kleine Anfragt, ungeplant.""",Vielen Dank.,Kleine Antwort.
anfrage_0129-0138,Die kleine anfallen.,Lasser geht das noch nicht?,Die kleine Anfalle Samper.
anfrage_0139-0497,Eine Anfragt sich eine Anfrag!,Henn Dank.,Eine Anfragen.
anfrage_0121-0133,"""Er ist her, wasen und Herren, reboll",(Applaus),"""Er ist auch in Herlen, die man heriden."""
anfrage_0220-0199,Das werden sagen: Wä?,(Applaus),Das werden sagen: Wä?
anfrage_0187-0158,Hier war die andere ist zwei.,Das ist ja nicht zum Thema.,Ihre die andere ist die andere.
anfrage_0187-0150,"""Das ist übrigensen Anfragen, der es einfachen.""",Wer ist echt ihr nicht Zelen.,Das ist den Anfragen.
anfrage_0309-0228,Aber ihre Konnt courig.,(Applaus) Hohl!,Aber ihre Anfrag.
angesprochen_0105-0264,Grade angesprochen.,(Applaus),Rade angesprochen.
angesprochen_0202-0377,Die Jagisch worchen sind.,(Applaus),Die Jagisch worchen sind.
anfrage_0348-0263,Eine anpragezell die Rarloge.,(Englisch) Vielen Dank für die nette Vor,Eine Anfrage.
angesprochen_0233-0399,Zum Teil ist es gleich.,Wunte Sie das Foto.,Zum Teil bei eigenen Dankwonn es glaube.
angesprochen_0098-0253,Oder ist ein Angesprochen.,Und nun embürieren auf dem Glücke in,Oder ist ein angesprochen.
angesprochen_0153-0316,Wir haben ingesprochen.,"""Bimmt, zu gebrochen, nicht gebrochen.""",Wir haben der angesprochen.
angesprochen_0320-0470,Ich habe jetzt angesprochen.,Was ist der Ninbe zu tun?,Wir haben das angesprochen.
angesprochen_0242-0408,"""Ja haben sie ganz angesprochen, ja?""",Ich lechte die Spruchsvoll.,Er Japlant angesprochen ja.
angesprochen_0139-0801,"""Hier ist ein angesprochen worden wurde, die es in angespro",(Applaus),"""Hier ist ein angesprochen worden wurde, die es in angespro"
angesprochen_0327-0479,Wir haben angesprochen hat.,Sie sind keine Umbruchstären -- Geschären.,Wir angesprochen hat.
antrag_0022-0584,Wer ist der vorher.,Habelt semponieren.,Wer hat das vorher.
antrag_0041-0623,Ausgefährlich an einem Tag aus.,(Applaus),Ausklich an einem Tag aus.
antrag_0053-0658,"""Ganz einfach, ein Trahl.""",Es machen keine Lass.,Das war ein Tages.
antrag_0061-0675,(Lachen),(Eboter) Heiß!,(Lachen) Hach!
angesprochen_0332-0486,Diese Dinge ist ein angesprochen worden.,Wor ist das eine an der Begriffe oder?,Der Dinge ist ein angesprochen worden worden geworden.
antrag_0061-0697,Außerde Stunde.,Was hoch.,Das ist keine Leutegrauss.
antrag_0070-0731,Studium Antrag der Landes.,(Applaus),Studium Antrag der Landes.
antrag_0071-0752,Der Antrag.,Vielen Dank.,Wir haben Antrag.
antrag_0087-0791,Wir war dann am Antrag.,Was macht man das?,Die Antwort war am Antrag um das.
antwort_0015-1130,Lehrung gibt.,"""Das sind die Hoch, gibt es nicht.""",Lehrung gibt.
antrag_0122-0934,Zum Antrag ist wir mal.,(Applaus) (Musik),Zum Antragst ziell.
antwort_0071-0167,Das ist eine Antwort erhalten.,(Applaus),Der Antwort ist der Antwort.
antrag_0106-0856,"""B. jemand klusum, so trak ist.""",Vielen Dank.,"""B. jemand, zok ich am Anfang fragt."""
antwort_0040-0150,Das ist die Kontwortlich.,(Applaus),Das ist die Kontwortlich.
antwort_0033-0146,"""Er ist der Antwort, wo sich der Stellt.""",Es macht man das zur?,Es sind der Antwort an der Stellt ein der Stellt.
antwort_0113-0219,Das ist die Antwort auf die.,Vielen Dank.,Die Antwort auf die Antwort auf die.
antwort_0165-0256,Ein ist ein ganzen Antwort auf.,So einfach auch anders an Anworter.,Ein ist ein Antwort auf.
antwort_0188-0281,Wir sind ihr geantwort.,Ich nen wir nicht mehr.,Weil ich gar nicht woend.
antwort_0085-0182,Liegt das belohntiger Grad.,Haband man nur nicht auch Lebe.,Es bin Pillinusgarig draut hier.
arbeiten_0016-1717,Dachen wir arbeiten auch.,(Applaus),Dachen wir arbeiten auch.
antwort_0132-0234,Als Antwort auf.,Zehm immer überhaupt raufen oder die Häume.,Als Antwort auf.
antwort_0145-0240,Der Anten Sie seine Antwort ist ein kleiner Antwort.,Das ist im grüduelle.,Das ist in seiner Antwortsortorte der Antwort.
arbeiten_0040-0232,Das war die Arbeit nicht.,Woher orMus in den Hinteres.,Und zu arbeiten.
arbeiten_0070-0282,Hoch doch arbeiten.,Welte schön?,Woch uns nicht anarbeiten?
arbeiten_0046-0246,Wir seiten wir sich arbeiten.,Jetzt ist nur ein paar Länder.,Wir seiten anarbeiten.
arbeiten_0110-0362,Warum Arbeiten.,Vielen Dank.,Wacharbeiten.
arbeiten_0133-0396,"""Ich lüße euch, ich bin.""",Das ist ganz gut.,Ich bin nicht.
arbeiten_0185-0454,Das war 28.,(Applaus),Das war 28.
arbeiten_0109-0360,Wir sind seit einem dan Arbeiten müssen.,(Applaus),Wir sind arbeiten müssen arbeiten müssen.
arbeiten_0149-0410,Wir sind hier Uhr arbeiten.,(Applaus),Wir sind hier Uhr arbeiten.
arbeit_0099-1607,Wirtschaft hatschaft und Arbeiten.,Wolle die von einem angehen?,Wirtschaft und arbeiten Arbeiten Arbeit?
arbeit_0106-0449,Was ist die Arbeit nicht.,(Applaus),Was uns die Arbeit.
arbeit_0205-0593,Woneras wird.,(Applaus),Darbeit erleichtet.
arbeit_0149-0506,Wir sind gute Arbeit machen.,"""Schan, so normal.""",Auch ich gute Arbeit macht.
arbeiten_0187-0460,"""Ohnen Arbeiten, Arbeit arbeiten und Arbeit.""",So hat einfachs eimlichen Nunsiedelen.,"""Ohn, arbeiten und Arbeiten."""
arbeit_0161-0520,Weil ich ein Arbeiten Arbeit.,"""Er ist Hasse einfach, nunmst du tun.""",Die Arbeit ist ein Arbeit.
arbeit_0265-0723,Vielleicht Arbeit Arbeit.,(Echt der Arbeit.,Vielleicht Arbeit Arbeit.
arbeit_0160-0518,Das ist übrigens eine Arbeit.,"""Oh, totangeplante, fallt wird noch",Das ist ein Ugische Arbeit.
arbeit_0284-0757,Einsamenarbeiten.,(Applaus),Einsamenarbeiten.
arbeit_0209-0603,Wir tragen der Arbeit geleicht.,"""Nat, nein, fünf?""",Wir werden sagen: Wohrarbeit geleiden.
arbeit_0227-0655,Der letztenglisch) Hallode.,Es war der Leute?,Der letzterftest wieder: Hälft.
auch_0152-0842,Das ist auch schon mal.,(Echt!,Das ist auch so mach.
auch_0140-0157,Sie immer auch noch eine Wan.,Das sind immer die Autolage aber.,Sie immer auch noch eine Fama.
auch_0142-0258,Mir dann auch eine.,Vielen Dank grabieren lassen.,Mir dann auch eine.
auch_0154-0987,(Applaus) auch verschieden.,(Applaus),(Lachen) auch sieht auch nicht.
auch_0138-0086,Du kann drübrin auch den Denken.,"""O kommt wir an der Leute zu sprechen, die Leute lösen.""",Dubrübrin auch die Senkung.
auch_0156-1012,Das ist auch hier.,Das ist nen die Ghrdliche Rot.,Das sind auch wieder.
auch_0154-1005,"""Vielleicht ist es nicht, ob wenn sie nicht.""",Hab: Ich bin noch was.,"""Es bleibt nicht, wenn Sie jetzt."""
auch_0165-1392,Das sind dringefol-Alpert.,Es ist ihr Poldieren.,Das hat wund auch.
aufgaben_0074-0136,Wir sind Aufgabe Aufgabe.,Hochte Aufgabe verabert man.,Wir sind Aufgabe Aufgabe.
aufgaben_0090-0147,"""Wir sind auch, dass es.""",(Applaus),"""Wir sind auch, dass es."""
auch_0166-1465,Ich habe alle anderen auch.,"""Das ist ein Leide Raue, die Rote von R",Ich habe ja alle anderen auch.
aufgaben_0012-0877,Wir werden die Aufgabenaufen berechen.,Vielen Dank.,Wendigen Aufgabenaufgabeich.
aufgaben_0247-0255,Haben wir die Aufgabe.,Wennen Sie sich wiederum?,Haben Sie Aufgabe?
aufgaben_0099-0599,Diese Aufgabe ist hein.,Das sind totalföhmlich.,Diese Aufgabe ist hunde Aufgabe an.
aufgaben_0107-0164,Wir haben Nankanaufgern.,Hein Sie an dem Leben.,Da war auch kein Leben.
auch_0166-1451,"""(Englisch) """"Ich gegenübers"""".""",Das ist ungefähr im Gruppent.,"""(Englisch) """"Allerw!"""""""
aufgaben_0293-0305,Sie sind Aufgabe Aufgaben.,(Applaus),Fehlerlauf gab es.
aufgaben_0293-0311,Man sind Na Aufgabe.,Er kann diese Aufgabe?,Man sind Na Aufgabe.
aufgaben_0282-0274,Ihre Aufgaben.,Woll seht aufgebendig.,Wir sind ihr Aufgaben.
aufgabe_0014-1489,Was ist die Aufgabe?,"""Klar, da kann man nicht.""",Was ist die Aufgabe?
aufgabe_0010-1474,Das ist eigentlich die Aufgabe.,(Applaus),"""El Ihr war da Aufgabe, wir sollen."""
aufgaben_0305-0324,Sie sind die Aufgabenaufgaben.,Was ist die Grüße.,Sie sind die Aufgabenaufgaben.
aufgabe_0027-0194,Das ist richtige Aufgabe machen.,(Applaus) Mallo!,Das ist richtigen Aufgabe machen.
aufgabe_0106-0301,Ein der Aufgabe?,Was geht man hier?,Wir sind die Aufgabe.
aufgabe_0088-0270,Das war der Verlabtertan.,(Applaus),Das war der Verlagt.
aufgabe_0096-0281,Meine Aufgabe hier.,"""Meinen, so einem Deben.""",Meine Aufgabe hier.
aufgabe_0154-0374,Der Aufgabe?,Oder nunal hat man hinten.,Der Aufgabe war die Aufgabe.
aufgabe_0173-0397,Alle Aufgabe.,Hofgetruckt sie raufen.,Alle Aufgabe des.
aufgabe_0197-0438,"""Das sind die Aufgabe, aber den Aufgabe.""",Was hat aber nicht im Schlimphik.,Es ist die Aufgabe des Aufgabe.
aufgrund_0079-0667,Wie haben ihn in sein.,(Applaus),Wie haben ihn in sein.
aufgrund_0023-0131,Das sind drauf.,Also nun ich das noch -- naht.,Das sind auch aufgrund.
aufgrund_0071-0188,Das ist auf Grund.,(Applaus) (Musik),Tuff aufgrund der Grund.
aufgabe_0179-1013,Oder guckt schneller abgewellt.,Was ner hatten wir nehmer Welt weger?,Das ist ein Steller abgewelt.
aufgrund_0145-0262,Ihr im sogar dein.,(Applaus),Ihr im sogar zwei.
aufgrund_0135-0251,"""Die Klenter, aufgrund der Dot.""",Vielen Dank.,Glendern auf Grund der dort.
aufgrund_0026-0134,"""Ganzte schön, aufgrundt.""",Wunmand wohl ohne Wunsen an -Loll,Diese Kobünstlinger aufgrund dieses.
aufgrund_0182-0285,Das macht mit ihrer Lizen.,(Applaus),Das macht mit ihrer Lizenz.
aufgrund_0137-0256,Das ist mich aufgrundes.,Haben Sie die Woche Rochsvolls.,Das ist mich aufgrundes.
aufgrund_0186-0288,Was möchte man mit dem Eini?,(Applaus),Was fragen mit dem Eini?
aufgrund_0160-0270,Wie macht aus dem Gutekunden.,(Applaus) (Musik),Das war aus dem Gutekund gehabt.
ausbildung_0110-0161,Und das ist also die Auswirausbildung.,"""Es ist der Late, die mir lieb machen.""",Und das ist in der Ausbildung.
ausbildung_0110-0175,Kön Ausbildung gehen.,"""Nach dem Blugieren, nicht Bludium.""",Kön Ausbildung gehen.
ausbildung_0132-0215,Von Ausbildung.,Und die Gründen ohne großen Uter oder dann auf.,Von Ausbildung.
ausbildung_0160-0230,Auches Bildung.,"""Ohn, oben hoch.""",Auchtbildung.
ausbildung_0242-0330,Allal ein Ausbildung.,(Applaus),All Zahlt Bildungen.
ausbildung_0133-0223,Man sind ausprobieren.,Lass aus dem Kobrobile füne.,Man kann Ausbildung einen Auswirkungensprod.
ausbildung_0242-0331,Sie sind diese Ausbildung.,Auche Billinge holen.,Sie sind Ausbildung.
ausbildung_0251-0352,Lie ausbilden der Ausbildung.,Henau kommt nicht hoch.,Und der Ausbildung.
ausschuss_0062-0165,(Lachen),(Applaus),(Applaus)
ausbildung_0133-0226,"""Ich bin in einer Ausbrüuß, das al.""",Er sind rede nicht mehr unhoberen oder an diem Dronlich,Es ist eine Ausbrüße Ausbildung als.
ausschuss_0025-0141,So wird munde gesetzte.,(Applaus),So wird munde gesetzte.
ausbildung_0206-0270,Wir sind übrigens eine Auswirkungen für die.,"""Antte die großen Hochen, ins hoch.""",Wir sind meistensgegen Ausgehtung für die.
ausschuss_0015-1358,Oder den Ausschluss über.,(Applaus) (Musik),Oder den Ausschuss überfangen.
ausschuss_0062-0168,Wohne Ausschuss für?,(Applaus),Wohne Ausschuss für?
ausschuss_0040-0150,Genau geht es mit diesem Sonnen.,"""Bieduhle schön, ungewönchen.""",Genau geht es auf eigene Forktion.
ausschuss_0080-0190,Er ist im Ausschuss.,Ich habe also Sachen ohne großen Grunden Todelen.,Oder im Ausschuss.
ausschuss_0178-0290,Aus ist der Ausschlusend.,(Applaus),Aus ist der Ausschlusend.
ausschuss_0104-0218,D. im Ausschluss.,"""Oder wanne man brauchtschuls.""""""","""Schon, so einem Ausschuss."""
bedeutet_0066-0181,"""Was auch, wenn Sie auf.""",(Applaus),"""Was wenn sie auf."""""""
bedeutet_0083-0203,Für uns auch nicht.,(Applaus),Für uns das auch nicht.
ausschuss_0179-0943,Sie Äbische Ausschuss.,Und nun hatten wir schon schon losen.,Aus Äbische Ausschluss.
ausschuss_0109-0233,"""Mitteuß, bitte schau!""",Jetzt sitzt man schon schon vorstüne.,Mittemitösse habe ich mir auschlus einfach.
bedeutet_0002-1159,Das bedeutet standet stand.,"""Endere Menschen, gernt ihr auch immer vorlechtet",Das bedeutet bedeutet dann auch.
bedeutet_0163-0305,Die Zeit bedeutet nicht.,(Applaus),Die Zeit bedeutet nicht.
bedeutet_0092-0210,Gleid bedeutet die Dahlk.,Ein gehört gehört.,Gleid bedeutet die Deitist.
bedeutet_0110-0231,Das sind heute gedeutet.,(Applaus),Das sind heute gedeutet.
bedeutet_0134-0258,Die sind wete im Bedeutet.,Vielen Dank.,Die Frebeliebe das.
bedeutet_0134-0256,Das bedeutet wie streut.,Haban von den neuen Büren oder die neuen Benüge,Das bedeutet bedeutet nicht steuer.
